,Time,Turnover_S,Turnover_M,Turnover_D
0,1,0.0477326968973747,0.17559262510974538,0.0
1,2,0.2353494939985879,0.174140182847192,0.0
2,3,0.0,0.2570694087403599,0.0
3,4,0.0894654439722657,0.0,0.0
4,5,0.08798944126704795,0.08340283569641367,0.0
5,6,0.04350663476180117,0.0,0.0
6,7,0.21496130696474636,0.0,0.0
7,8,0.0,0.0,0.0
8,9,0.0419639110365086,0.0,0.0
9,10,0.0,0.0,0.0
10,11,0.0,0.0,0.0
11,12,0.0406421459053038,0.0,0.0
12,13,1.8849007419290156,0.837138508371385,0.0
13,14,1.1553784860557768,0.30234315948601664,0.0
14,15,0.5127193847367383,0.2237970906378217,0.0
15,16,0.4285157771717959,0.4410143329658214,0.0
16,17,0.4236472174080493,0.2911208151382824,0.0
17,18,0.4205696807493787,0.07207207207207207,0.0
18,19,0.6858449228424461,0.7137758743754461,0.0
19,20,0.30337504740235116,0.4980434009249377,2.0
20,21,0.5652911249293386,0.28368794326241137,2.0202020202020203
21,22,0.562535158447403,0.7072135785007072,0.0
22,23,0.7501875468867216,0.7102272727272727,0.0
23,24,1.6132057775276685,0.49680624556423,0.0
24,25,1.727699530516432,0.6362672322375398,0.0
25,26,1.1288805268109126,1.0589481115425343,0.0
26,27,0.8575689783743475,0.91324200913242,0.0
27,28,0.6624953993375046,0.2786485545106235,0.0
28,29,0.3282275711159737,0.2757669769045157,0.0
29,30,0.4346251358203549,0.478796169630643,0.0
30,31,0.7935076645626691,0.3401360544217687,0.0
31,32,0.6127230131555236,0.5418218760582458,0.0
32,33,0.46846846846846846,0.4039044092898014,0.0
33,34,0.5763688760806917,0.8048289738430584,0.0
34,35,0.7958039428468077,0.739247311827957,0.0
35,36,1.452960406828914,0.8768971332209106,0.0
36,37,1.8964259664478482,0.8110848259547144,0.0
37,38,1.5384615384615385,0.8069939475453934,1.694915254237288
38,39,0.9821753364859949,0.7343124165554071,0.0
39,40,0.6812477590534242,0.0,0.0
40,41,0.5315379163713678,0.1306762495916367,0.0
41,42,0.3875286242733838,0.32299741602067183,0.0
42,43,0.8068759866690055,0.7040000000000001,1.6
43,44,0.5586592178770949,0.6353240152477764,0.0
44,45,0.6619055913603902,0.6999681832643971,0.0
45,46,0.45193811924213456,0.8293460925039872,0.0
46,47,1.289872755795712,0.6385696040868455,0.0
47,48,1.5040223854494577,0.5110188438198658,0.0
48,49,1.5408860094554369,0.7657945118059988,1.4285714285714286
49,50,1.5077138849929874,0.7006369426751593,2.877697841726619
50,51,0.41928721174004197,0.5056890012642226,1.4598540145985401
51,52,0.31174229303775547,0.3125,1.4705882352941175
52,53,0.6525845783960158,0.24760136180748993,0.0
53,54,0.4106073567151412,0.06151953245155337,0.0
54,55,0.9221311475409836,0.6108735491753208,0.0
55,56,0.6122448979591837,0.6690997566909975,1.4705882352941175
56,57,0.8471704506946797,0.3638568829593693,0.0
57,58,0.47249409382382723,0.3013863773357444,0.0
58,59,1.1796427367711493,0.48033623536475534,0.0
59,60,1.0138560324433932,0.4185351270553065,0.0
60,61,1.281618887015177,0.6551518761167362,0.0
61,62,1.41081625797783,0.6528189910979229,1.3888888888888888
62,63,0.600400266844563,0.5884083553986467,0.0
63,64,0.4929346040092014,0.4663363450888954,0.0
64,65,0.2923026956804157,0.2896032435563278,0.0
65,66,0.3552397868561279,0.23048112935753384,0.0
66,67,0.5780346820809248,0.5159071367153912,0.0
67,68,0.6739409499358151,0.39897406668566543,0.0
68,69,0.3854183394893207,0.4532577903682719,1.3245033112582782
69,70,0.5438259756877799,0.5071851225697379,0.0
70,71,1.3390722142515543,0.33641715727502103,0.0
71,72,1.2078830260648443,0.9491903964265772,1.3071895424836601
72,73,1.364646144081244,0.5572582892170521,0.0
73,74,1.265022137887413,0.7228245760355853,0.0
74,75,0.5947722648301769,0.6068965517241379,0.0
75,76,0.5252587671867758,0.0,0.0
76,77,0.4885496183206107,0.2700513097488523,0.0
77,78,0.3630862329803328,0.053633681952266025,1.1976047904191618
78,79,0.8716561466786895,0.6907545164718385,3.6363636363636362
79,80,0.3875968992248062,0.4735595895816891,1.2269938650306749
80,81,0.5614657210401891,0.3652491521001826,1.2121212121212122
81,82,0.49955921245959445,0.6747988580327018,1.2121212121212122
82,83,1.085840058694057,0.41311644719855406,0.0
83,84,1.6150345030098372,0.358974358974359,0.0
84,85,1.760821716801174,0.6108424535505218,0.0
85,86,1.1403508771929824,0.45454545454545453,0.0
86,87,0.8108890819577179,0.6025608837559628,0.0
87,88,0.5729017473503294,0.09957679860592482,0.0
88,89,0.22672523735298286,0.24594195769798327,0.0
89,90,0.5632216277105041,0.2442002442002442,0.0
90,91,0.8998875140607425,0.38731541999515856,0.0
91,92,0.44786564030790765,0.19138755980861244,2.2346368715083798
92,93,0.8913649025069639,0.18975332068311196,0.0
93,94,0.4988913525498891,0.4708097928436911,0.0
94,95,0.8812999173781328,0.4673989249824725,0.0
95,96,1.6673500068334017,0.6963788300835655,0.0
96,97,1.5129001756044846,0.46008741660915575,0.0
97,98,1.0937708416700014,0.6815084052703316,0.0
98,99,0.684931506849315,0.49382716049382713,0.0
99,100,0.390625,0.6222222222222222,0.0
100,101,0.48931238732938453,0.48404840484048406,0.0
101,102,0.5632360471070148,0.30547676194632334,1.0101010101010102
102,103,0.6118546845124283,0.5198180636777128,1.0050251256281406
103,104,0.4804045512010114,0.3006227184882972,0.0
104,105,0.5526943851274966,0.2981895633652822,1.0
105,106,0.5997750843433712,0.2958579881656805,1.0050251256281406
106,107,0.9930486593843099,0.2518891687657431,0.0
107,108,1.1528084375766494,0.33368091762252344,0.0
108,109,1.1887433284813196,0.4968944099378882,0.0
109,110,1.3728323699421965,0.4930156121610517,1.9047619047619049
110,111,0.8121342410127791,0.6941608819926501,0.0
111,112,0.40184375369341685,0.36548223350253806,0.0
112,113,0.3965477023559599,0.4029820672980053,0.9090909090909091
113,114,0.2542764678687009,0.32044862807931107,0.0
114,115,0.7584463341760515,0.4374627162457745,0.0
115,116,0.43388901575702216,0.19657951641438962,0.8547008547008548
116,117,0.47635250085062947,0.3899395593682979,0.0
117,118,0.6976482502531788,0.3491755577109602,0.0
118,119,0.9389671361502347,0.2697495183044316,0.0
119,120,1.175426923929918,0.5358851674641149,1.6
120,121,1.4038166264531697,0.877527661198016,0.0
121,122,1.0209623112848918,0.5699088145896657,0.0
122,123,0.4510793684888841,0.6424792139077854,0.7751937984496124
123,124,0.6160382368560807,0.601956358164033,0.7722007722007722
124,125,0.4208311415044713,0.2983404810740257,0.7692307692307693
125,126,0.18820577164366373,0.11086474501108648,0.0
126,127,0.8309098462816784,0.5876951331496786,0.7633587786259541
127,128,0.3697237342097155,0.21925817650283208,0.7575757575757576
128,129,0.5909924597513756,0.2903284340410089,0.7547169811320755
129,130,0.4859775235395363,0.43188770919560915,1.520912547528517
130,131,1.2905827787860455,0.8233398961875783,0.0
131,132,1.365873254996485,0.6058446186742694,0.0
